,date,away_team,away_odds_ml,home_team,home_odds_ml,year,exp_win_away,exp_win_home,exp_value_away,exp_value_home,result,bet,return,expected_return,prediction_correct,exp_win_away_recent,exp_win_home_recent,exp_value_away_recent,exp_value_home_recent,bet_recent,return_recent,expected_return_recent,exp_win_away_nn,exp_win_home_nn,exp_value_away_nn,exp_value_home_nn,bet_nn,return_nn,expected_return_nn,game_time,N,home_point_spread,home_odds_spread,away_point_spread,away_odds_spread
104,01-26-2022,Vermont,-380,Stony Brook,310,2021-22,0.7417320030408827,0.2624329616979781,-0.0631,0.076,1,7.6,-7.6,0.5776,1.0,,,,,,,,,,,,,,,,,,,,
105,01-26-2022,Army,-115,Lehigh,-105,2021-22,0.6956044133091701,0.3018090655173826,0.3005,-0.4108,2,30.05,-30.05,9.03,0.0,,,,,,,,,,,,,,,,,,,,
106,01-26-2022,Albany,180,UMass Lowell,-210,2021-22,0.1728269453112346,0.8293149004765176,-0.5161,0.2242,1,22.42,-22.42,5.0266,0.0,,,,,,,,,,,,,,,,,,,,
107,01-26-2022,Hampton,550,Campbell,-800,2021-22,0.07046957053931374,0.9335506297500528,-0.5419,0.0502,2,5.02,0.6275,0.252,1.0,,,,,,,,,,,,,,,,,,,,
108,01-26-2022,Presbyterian,-240,Charleston Southern,200,2021-22,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
109,01-26-2022,Radford,105,High Point,-125,2021-22,0.25993375065768715,0.746657734514287,-0.4671,0.344,2,34.4,27.52,11.8336,1.0,,,,,,,,,,,,,,,,,,,,
110,01-26-2022,North Carolina A&T,270,Longwood,-330,2021-22,0.10108251629374404,0.9008728638822938,-0.626,0.1739,2,17.39,5.2697,3.0241,1.0,,,,,,,,,,,,,,,,,,,,
111,01-26-2022,Binghamton,220,Hartford,-260,2021-22,0.4761128077423274,0.5248793229589869,0.5236,-0.2732,2,52.36,-52.36,27.4157,1.0,,,,,,,,,,,,,,,,,,,,
112,01-26-2022,Holy Cross,170,American University,-190,2021-22,0.0,0.0,-1.0,-1.0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
113,01-26-2022,Navy,-340,Bucknell,280,2021-22,0.8316248392278986,0.1641114921711543,0.0762,-0.3764,1,7.62,2.2412,0.5806,1.0,,,,,,,,,,,,,,,,,,,,
